Algoritmo,Execucao,Conflitos,Iteracoes,Tempo,Sucesso
Reinicio,21,1517,4,0.010001897811889648,1
Reinicio,22,955,2,0.005091428756713867,1
Reinicio,23,6067,18,0.0337376594543457,1
Reinicio,24,730,1,0.003998279571533203,1
Reinicio,25,281,0,0.0010428428649902344,1
Reinicio,26,337,0,0.001996755599975586,1
Reinicio,27,3708,11,0.019999980926513672,1
Reinicio,28,11853,36,0.0621027946472168,1
Reinicio,29,1854,5,0.012104272842407227,1
Reinicio,30,1854,5,0.011101722717285156,1
Reinicio,31,1180,3,0.007101535797119141,1
Reinicio,32,12806,37,0.06499910354614258,1
Reinicio,33,1124,3,0.006009101867675781,1
Reinicio,34,4550,13,0.028996944427490234,1
Reinicio,35,3369,8,0.029996395111083984,1
Reinicio,36,394,1,0.0019948482513427734,1
Reinicio,37,1068,3,0.006015300750732422,1
Reinicio,38,2977,8,0.013992786407470703,1
Reinicio,39,1742,5,0.008962154388427734,1
Reinicio,40,1235,2,0.00599217414855957,1
Reinicio,41,2697,8,0.014989852905273438,1
Reinicio,42,3428,11,0.01709127426147461,1
Reinicio,43,2697,8,0.013994693756103516,1
Reinicio,44,898,1,0.004992246627807617,1
Reinicio,45,3764,11,0.019996166229248047,1
Reinicio,46,899,2,0.004995584487915039,1
Reinicio,47,6965,20,0.03599262237548828,1
Reinicio,48,674,1,0.0041124820709228516,1
Reinicio,49,4942,13,0.026997089385986328,1
Reinicio,50,2022,5,0.00999593734741211,1
Reinicio,51,4213,12,0.023995637893676758,1
Reinicio,52,5001,16,0.027001380920410156,1
Reinicio,53,674,1,0.002993345260620117,1
Reinicio,54,225,0,0.0019960403442382812,1
Reinicio,55,2358,5,0.007998228073120117,1
Reinicio,56,4100,11,0.0230257511138916,1
Reinicio,57,2919,6,0.018394947052001953,1
Reinicio,58,449,0,0.0020990371704101562,1
Reinicio,59,562,1,0.0035278797149658203,1
Reinicio,60,505,0,0.0021064281463623047,1
Reinicio,61,1573,4,0.00899815559387207,1
Reinicio,62,1012,3,0.005997657775878906,1
Reinicio,63,3204,11,0.018004179000854492,1
Reinicio,64,4438,13,0.021994352340698242,1
Reinicio,65,1012,3,0.006233930587768555,1
Reinicio,66,281,0,0.0010993480682373047,1
Reinicio,67,1460,3,0.008005619049072266,1
Reinicio,68,1910,5,0.010998725891113281,1
Reinicio,69,1179,2,0.005992412567138672,1
Reinicio,70,1517,4,0.008013248443603516,1
Reinicio,71,6626,17,0.03301668167114258,1
Reinicio,72,2247,6,0.012000322341918945,1
Reinicio,73,3877,12,0.022099971771240234,1
Reinicio,74,2471,6,0.013003349304199219,1
Reinicio,75,2864,7,0.015998125076293945,1
Reinicio,76,7359,22,0.037998199462890625,1
Reinicio,77,225,0,0.0019969940185546875,1
Reinicio,78,2416,7,0.015001773834228516,1
Reinicio,79,2864,7,0.014155864715576172,1
Reinicio,80,4549,12,0.025049686431884766,1
Reinicio,81,1798,5,0.009996652603149414,1
Reinicio,82,1854,5,0.010995626449584961,1
Reinicio,83,787,2,0.00629425048828125,1
Reinicio,84,730,1,0.005097627639770508,1
Reinicio,85,4998,13,0.02799701690673828,1
Reinicio,86,3258,9,0.01599431037902832,1
Reinicio,87,1742,5,0.008898496627807617,1
Reinicio,88,5615,14,0.032996416091918945,1
Reinicio,89,281,0,0.0021028518676757812,1
Reinicio,90,5283,18,0.029485702514648438,1
Reinicio,91,449,0,0.0020935535430908203,1
Reinicio,92,505,0,0.003996372222900391,1
Reinicio,93,1124,3,0.009008407592773438,1
Reinicio,94,1011,2,0.004993438720703125,1
Reinicio,95,1630,5,0.008002519607543945,1
Reinicio,96,449,0,0.0019931793212890625,1
Reinicio,97,3594,9,0.01909494400024414,1
Reinicio,98,1461,4,0.007953643798828125,1
Reinicio,99,225,0,0.0010037422180175781,1
Reinicio,100,3709,12,0.0209963321685791,1
